Participant,Recording,Second_Face_Fixation_ID,Second_Face_AOI
09,1,537,nose
09,1,545,eye
09,1,564,eye
09,1,570,eye
09,1,583,eye
09,1,600,mouth
09,1,609,eye
09,1,615,mouth
09,1,622,mouth
09,1,625,nose
09,1,639,eye
09,1,640,mouth
09,1,651,eye
09,1,2377,mouth
09,1,2545,mouth
09,1,2554,eye
09,1,2560,eye
09,1,2575,eye
09,1,2580,mouth
09,1,2584,eye
09,1,2585,eye
09,1,2674,nose
09,1,2680,mouth
09,1,2720,nose
09,1,2744,eye
09,1,2745,nose
09,1,2761,eye
09,1,2779,mouth
09,1,2788,mouth
09,1,2807,eye
09,1,2808,mouth
09,1,2823,eye
09,1,2832,eye
09,1,2850,mouth
09,1,2879,nose
09,1,2888,nose
09,1,2889,mouth
09,1,2897,eye
09,1,2903,nose
09,1,2924,eye
09,1,2948,nose
09,1,2949,eye
09,1,4640,mouth
09,1,4647,mouth
09,1,4648,nose
09,1,4667,mouth
09,1,4674,nose
09,1,4720,nose
09,1,4785,eye
09,1,4787,eye
09,1,4788,nose
09,1,4797,eye
09,1,4801,nose
09,1,4855,mouth
09,1,5181,eye
09,1,6055,eye
09,1,6130,eye
09,1,6472,nose
09,1,6473,mouth
09,1,6528,mouth
09,1,6529,mouth
09,2,466,eye
09,2,1220,eye
09,2,1251,eye
09,2,1253,eye
09,2,1477,eye
09,2,2076,eye
09,2,2082,nose
09,2,2115,nose
09,2,2116,eye
09,2,2124,nose
09,2,2125,eye
09,2,2132,eye
09,2,2148,mouth
09,2,2150,mouth
09,2,2151,nose
09,2,2162,nose
09,2,2185,eye
09,2,3375,mouth
09,2,3403,eye
09,2,3615,eye
09,2,3872,mouth
09,2,3874,mouth
09,2,3876,mouth
09,2,3880,eye
09,2,3881,eye
09,2,3891,mouth
09,2,3892,nose
09,2,3902,mouth
09,2,3907,eye
09,2,3909,nose
09,2,3912,nose
09,2,3917,eye
09,2,3932,eye
09,2,3935,nose
09,2,3936,nose
09,2,3966,eye
09,2,3967,eye
09,2,4015,mouth
09,2,4022,nose
09,2,4023,eye
09,2,4673,eye
09,2,4685,eye
09,2,5712,eye
09,2,5713,eye
09,2,5734,nose
09,2,5757,eye
09,2,5758,eye
12,1,876,eye
12,1,886,nose
12,1,887,eye
12,1,923,eye
12,1,993,eye
12,1,994,eye
12,1,1083,eye
12,1,1088,nose
12,1,1089,nose
12,1,1095,eye
12,1,1305,mouth
12,1,1313,eye
12,1,1336,eye
12,1,2703,eye
12,1,2899,nose
12,1,3075,eye
12,1,3076,eye
12,1,3081,eye
12,1,3093,mouth
12,1,3133,nose
12,1,3138,nose
12,1,4801,eye
12,1,4802,eye
12,1,4811,eye
12,1,4865,eye
12,1,4893,eye
12,1,4911,mouth
12,1,4921,eye
12,1,6684,mouth
12,1,6685,eye
12,2,2764,mouth
12,2,3486,mouth
12,2,3487,nose
12,2,3504,eye
12,2,3550,mouth
12,2,3557,mouth
12,2,3559,mouth
12,2,3560,mouth
12,2,4364,eye
12,2,4428,eye
12,2,4594,eye
12,2,4615,mouth
13,1,1382,eye
13,1,2075,eye
13,1,2216,eye
13,1,2546,eye
13,1,2618,eye
13,1,3684,eye
13,1,3798,eye
13,1,3959,eye
13,1,4315,eye
13,1,4544,eye
13,1,4670,mouth
13,1,4725,eye
13,1,4726,nose
13,1,5188,nose
13,1,5189,eye
13,2,410,eye
13,2,843,mouth
13,2,1106,eye
13,2,2205,mouth
13,2,2705,eye
13,2,3833,eye
13,2,3839,eye
13,2,3871,eye
13,2,4046,eye
13,2,4047,eye
13,2,4563,nose
14,1,933,mouth
14,1,941,mouth
14,1,942,mouth
14,1,1411,mouth
14,1,1412,nose
14,1,2401,nose
14,1,2458,mouth
14,1,2459,mouth
14,1,2570,eye
14,1,2647,eye
14,1,2932,mouth
14,1,2992,mouth
14,1,3264,eye
14,1,3322,eye
14,1,3757,eye
14,1,3758,mouth
14,1,4120,eye
14,1,4123,nose
14,1,4131,nose
14,1,4210,eye
14,1,4212,nose
14,1,4214,nose
14,1,4261,eye
14,1,4262,eye
14,1,5679,mouth
14,1,5704,mouth
14,1,5734,mouth
14,2,860,mouth
14,2,978,eye
14,2,1112,eye
14,2,1344,mouth
14,2,1448,eye
14,2,1534,mouth
14,2,1657,eye
14,2,1658,eye
14,2,2006,mouth
14,2,2401,mouth
14,2,2402,mouth
14,2,2537,mouth
14,2,2541,mouth
14,2,2613,eye
14,2,2693,mouth
14,2,3051,eye
14,2,3052,mouth
14,2,3264,eye
14,2,4020,mouth
14,2,4059,mouth
14,2,4061,nose
14,2,4121,mouth
14,2,4248,eye
15,1,654,eye
15,1,1802,mouth
15,1,2784,eye
15,1,2785,eye
15,1,2872,eye
15,1,2885,eye
15,1,2961,eye
15,1,2962,eye
15,1,2967,eye
15,1,4090,eye
15,1,4557,eye
15,1,4570,nose
15,1,4571,eye
15,1,4581,eye
15,1,4610,eye
15,1,4673,eye
15,1,4676,eye
15,1,4678,eye
15,1,4679,eye
15,1,4682,eye
15,1,4728,mouth
15,1,4902,mouth
15,1,6131,eye
15,1,6345,mouth
15,1,6346,eye
15,1,6396,eye
15,2,210,mouth
15,2,216,mouth
15,2,238,eye
15,2,952,eye
15,2,1036,eye
15,2,1043,eye
15,2,1879,eye
15,2,1896,eye
15,2,1900,nose
15,2,2084,eye
15,2,2085,eye
15,2,3666,eye
15,2,3680,eye
15,2,3681,eye
15,2,3759,eye
15,2,3760,eye
15,2,3771,mouth
15,2,3774,eye
15,2,3782,eye
15,2,3785,eye
15,2,3787,eye
15,2,3807,eye
15,2,3821,eye
15,2,3825,eye
15,2,4031,eye
15,2,4034,eye
15,2,4073,eye
15,2,4074,eye
15,2,4301,eye
15,2,4327,eye
15,2,4887,eye
15,2,5023,eye
15,2,5269,mouth
15,2,5384,eye
15,2,5386,eye
15,2,5526,eye
15,2,5547,eye
15,2,5597,eye
15,2,5599,eye
15,2,5600,eye
15,2,5605,eye
15,2,5606,eye
15,2,5614,eye
22,1,1357,mouth
22,1,2155,eye
22,1,2195,mouth
22,1,3069,mouth
22,1,3081,eye
22,1,3722,mouth
22,1,5011,mouth
22,1,5086,eye
22,1,5115,eye
22,1,5120,mouth
22,2,2324,eye
22,2,2363,mouth
22,2,2420,mouth
22,2,3273,eye
22,2,3574,eye
22,2,4381,eye
22,2,4382,eye
22,2,4394,nose
22,2,4400,nose
22,2,4418,nose
22,2,4440,nose
22,2,4441,eye
22,2,4481,eye
22,2,4499,nose
22,2,4505,nose
22,2,4525,eye
22,2,4528,eye
22,2,4574,eye
22,2,4679,eye
22,2,4680,eye
23,1,279,nose
23,1,886,eye
23,1,1262,mouth
23,1,1589,mouth
23,1,2186,mouth
23,1,2188,mouth
23,1,2302,nose
23,1,2329,mouth
23,1,2330,mouth
23,1,2741,mouth
23,1,3825,mouth
23,1,3826,mouth
23,1,4079,mouth
23,1,4080,mouth
23,1,4102,nose
23,1,4105,mouth
23,1,4113,mouth
23,1,4120,mouth
23,1,4124,nose
23,1,4132,mouth
23,1,4135,mouth
23,1,4138,eye
23,1,4139,nose
23,1,4272,nose
23,1,5176,eye
23,1,5337,eye
23,1,5358,eye
23,1,5606,mouth
23,1,5610,mouth
23,2,2228,eye
23,2,2281,eye
23,2,2282,eye
23,2,2303,eye
23,2,3516,mouth
23,2,3523,mouth
23,2,3555,nose
23,2,3557,mouth
23,2,3568,mouth
23,2,3968,eye
23,2,4535,eye
23,2,4536,mouth
23,2,4796,eye
23,2,4797,eye
24,1,2163,eye
24,1,2164,eye
24,1,2353,nose
24,1,2354,eye
24,1,2477,mouth
24,1,2478,eye
24,1,4389,eye
24,1,4634,mouth
24,1,5423,eye
24,1,5899,mouth
24,1,6481,eye
24,1,6493,eye
24,1,6495,eye
24,1,6500,eye
24,1,6502,eye
24,1,6503,eye
24,2,412,eye
24,2,1614,mouth
24,2,1803,mouth
24,2,2363,eye
24,2,2364,nose
24,2,2417,eye
24,2,3682,eye
24,2,3958,eye
24,2,3959,eye
24,2,4340,mouth
24,2,4777,mouth
24,2,5069,eye
24,2,5072,eye
24,2,5268,eye
24,2,5363,eye
24,2,5625,eye
24,2,5893,mouth
24,2,6061,eye
24,2,6421,mouth
24,2,6526,mouth
24,2,6542,mouth
24,2,6543,mouth
30,1,216,mouth
30,1,218,mouth
30,1,219,mouth
30,1,225,mouth
30,1,230,mouth
30,1,232,mouth
30,1,233,mouth
30,1,244,mouth
30,1,249,nose
30,1,250,mouth
30,1,256,mouth
30,1,267,mouth
30,1,268,mouth
30,1,275,mouth
30,1,281,mouth
30,1,287,mouth
30,1,291,mouth
30,1,292,mouth
30,1,300,mouth
30,1,301,mouth
30,1,325,mouth
30,1,330,mouth
30,1,335,mouth
30,1,346,mouth
30,1,348,mouth
30,1,349,mouth
30,1,363,mouth
30,1,378,mouth
30,1,383,mouth
30,1,388,mouth
30,1,2192,mouth
30,1,2195,mouth
30,1,2229,mouth
30,1,2231,mouth
30,1,2232,nose
30,1,2295,mouth
30,1,2302,mouth
30,1,2377,mouth
30,1,2619,mouth
30,1,2780,mouth
30,1,4059,mouth
30,1,4060,mouth
30,1,4075,mouth
30,1,4200,eye
30,1,4404,mouth
30,1,5008,eye
30,1,5158,mouth
30,1,5417,eye
30,2,92,mouth
30,2,665,eye
30,2,1807,mouth
30,2,2179,mouth
30,2,2902,eye
30,2,3294,mouth
30,2,3295,mouth
30,2,3340,eye
30,2,4877,mouth
30,2,4920,mouth
30,2,4921,mouth
32,1,1448,eye
32,1,1804,mouth
32,1,1852,mouth
32,1,1909,mouth
32,1,5097,eye
32,1,5098,eye
32,2,1621,mouth
32,2,1693,mouth
32,2,1704,eye
32,2,1705,eye
33,1,268,mouth
33,1,269,nose
33,1,1173,mouth
33,1,3817,eye
33,1,4270,mouth
33,1,4271,mouth
33,1,4719,mouth
33,2,3024,mouth
33,2,3409,mouth
33,2,3410,eye
33,2,4425,eye
33,2,4917,eye
33,2,4971,mouth
33,2,4972,mouth
33,2,4980,mouth
33,2,5017,mouth
33,2,5018,mouth
36,1,206,nose
36,1,207,eye
36,1,224,nose
36,1,225,nose
36,1,304,mouth
36,1,306,eye
36,1,307,eye
36,1,317,eye
36,1,323,nose
36,1,351,eye
36,1,352,eye
36,1,369,mouth
36,1,376,mouth
36,1,1773,eye
36,1,2030,eye
36,1,2031,mouth
36,1,2044,eye
36,1,3489,eye
36,1,4618,mouth
36,1,4619,eye
36,1,4650,eye
36,1,5095,eye
36,2,826,mouth
36,2,1415,eye
36,2,1607,mouth
36,2,1891,eye
36,2,2006,eye
36,2,3039,eye
36,2,3888,eye
36,2,3889,eye
36,2,4596,eye
36,2,4597,eye
